Provider,Model name,link,release date,benchmarks
OpenAI,GPT-3.5,https://openai.com/ko-KR/index/chatgpt/,2022-11-30,
OpenAI,GPT-4,https://openai.com/ko-KR/index/gpt-4/,2023-03-14,"Uniform Bar Exam, Biology Olympiad"
OpenAI,GPT-4o,https://openai.com/ko-KR/index/hello-gpt-4o/,2024-05-13,"MMLU / MMLU-Pro, GPQA, MATH, HumanEval, MGSM, DROP, M3Exam, MMMU / MMMU Pro, MathVista, AI2D, ChartQA, DocVQA, ActivityNet, EgoSchema"
OpenAI,o1,https://openai.com/ko-KR/index/learning-to-reason-with-llms/,2024-09-12,"IMO, AIME, Codeforces, GPQA, MATH, MathVista, MMMU / MMMU Pro, MMLU / MMLU-Pro"
OpenAI,o1-mini,https://openai.com/index/openai-o1-mini-advancing-cost-efficient-reasoning/,2024-09-12,"Codeforces, HumanEval, Cybersecurity CTFs, MMLU / MMLU-Pro, GPQA, MATH, AIME, Jailbreak Eval"
OpenAI,o3-mini,https://openai.com/ko-KR/index/openai-o3-mini/,2025-01-31,"AIME, GPQA, FrontierMath, Codeforces, SWE-bench verified, LiveBench Coding, MMLU / MMLU-Pro, MATH, MGSM, SimpleQA, STEM"
OpenAI,GPT-4.5,https://openai.com/ko-KR/index/introducing-gpt-4-5/,2025-02-27,"SimpleQA, GPQA, AIME, MMMLU, MMMU / MMMU Pro, SWE-bench"
OpenAI,GPT-4.1,https://openai.com/index/gpt-4-1/,2025-04-14,"SWE-bench verified, MultiChallenge, Video-MME, MMLU / MMLU-Pro, GPQA, Aider Polyglot, IFEval, Needle In A Haystack, GraphWalks, MMMU / MMMU Pro, MathVista, CharXiv, AIME, COLLIE, Multi-IF, MRCR, ComplexFunc Bench, Tau-bench, SWE-Lancer"
OpenAI,o3,https://openai.com/ko-KR/index/introducing-o3-and-o4-mini,2025-04-16,"MMMU / MMMU Pro, AIME, Codeforces, GPQA, HLE (Humanity's Last Exam), MathVista, CharXiv, SWE-bench verified, Aider Polyglot, MultiChallenge, BrowseComp, Tau-bench, SWE-Lancer"
OpenAI,GPT-5,https://openai.com/ko-KR/index/introducing-gpt-5/,2025-08-07,"Healthbench, AIME, SWE-bench verified, Aider Polyglot, MMMU / MMMU Pro, FrontierMath, HMMT, GPQA, HLE (Humanity's Last Exam), MultiChallenge, BrowseComp, COLLIE, TAU-2 bench, Video-MMMU, CharXiv, ERQA"
OpenAI,GPT-5.1,https://openai.com/ko-KR/index/gpt-5-1/,2025-11-12,
OpenAI,GPT-5.2,https://openai.com/ko-KR/index/introducing-gpt-5-2/,2025-12-11,"GDPval, SWE-bench Pro, SWE-bench verified, GPQA, CharXiv, HMMT, FrontierMath, ARC-AGI, MRCR v2, ScreenSpot-Pro, TAU-2 bench, BrowseComp Long Context, GraphWalks, MMMU / MMMU Pro, Video-MMMU, Scale MCP-Atlas, Toolathlon, MMMLU, HLE (Humanity's Last Exam), SWE-Lancer"
