release_sequence,release_key,provider,model,release_date,mention_position,raw_mention,benchmark_id,benchmark_name,match_source,match_type,source_author,frontier_lab_author_affiliations,source_author_group,self_affiliated_source,legacy_task_mode,legacy_task_domain,headline_task_mode,facet_domain,construct_claim,benchmark_lifecycle_risk
3,OpenAI::GPT-4::2023-03-14,OpenAI,GPT-4,2023-03-14,1,Uniform Bar Exam,benchmark_uniform_bar_exam,Uniform Bar Exam,canonical,exact,Academia,none,Academia,False,Generative Reasoning,Specialized (Law/Bio/Finance),Multimodal Perception,Law,document_understanding; domain_expertise; factual_knowledge; instruction_following; reasoning,construct_validity_risk; contamination_risk; private_or_opaque_eval
3,OpenAI::GPT-4::2023-03-14,OpenAI,GPT-4,2023-03-14,2,Biology Olympiad,benchmark_biology_olympiad,Biology Olympiad,canonical,exact,Academia,none,Academia,False,Generative Reasoning,Specialized (Law/Bio/Finance),Generative Reasoning,Bio/Medicine; STEM/Math,domain_expertise; factual_knowledge; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk; saturation_risk; unclear_metric
4,Anthropic::Claude 2::2023-07-11,Anthropic,Claude 2,2023-07-11,1,Uniform Bar Exam,benchmark_uniform_bar_exam,Uniform Bar Exam,canonical,exact,Academia,none,Academia,False,Generative Reasoning,Specialized (Law/Bio/Finance),Multimodal Perception,Law,document_understanding; domain_expertise; factual_knowledge; instruction_following; reasoning,construct_validity_risk; contamination_risk; private_or_opaque_eval
4,Anthropic::Claude 2::2023-07-11,Anthropic,Claude 2,2023-07-11,2,GRE,benchmark_gre,GRE,canonical,exact,"Academia, Others(ETS)",none,Academia,False,Generative Reasoning,General/Commonsense,Generative Reasoning,General/Commonsense; Other Specialized; STEM/Math,domain_expertise; mathematical_reasoning; reasoning,construct_validity_risk; contamination_risk; private_or_opaque_eval
4,Anthropic::Claude 2::2023-07-11,Anthropic,Claude 2,2023-07-11,3,HumanEval,benchmark_humaneval,HumanEval,canonical,exact,OpenAI,OpenAI,Other frontier lab-affiliated,False,Generative Reasoning,Coding/Engineering,Generative Reasoning,Coding/Engineering,coding,construct_validity_risk; contamination_risk; provider_created_benchmark; saturation_risk
4,Anthropic::Claude 2::2023-07-11,Anthropic,Claude 2,2023-07-11,4,GSM8K,benchmark_gsm8k,GSM8K,canonical,exact,OpenAI,OpenAI,Other frontier lab-affiliated,False,Generative Reasoning,STEM/Math,Generative Reasoning,STEM/Math,mathematical_reasoning; reasoning,contamination_risk; saturation_risk
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,1,MMLU / MMLU-Pro,benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,canonical,exact,Academia,none,Academia,False,Generative Reasoning,General/Commonsense,Generative Reasoning,Bio/Medicine; Coding/Engineering; Finance; General/Commonsense; Law; Other Specialized; STEM/Math,domain_expertise; factual_knowledge; mathematical_reasoning; reasoning; scientific_reasoning,construct_validity_risk; contamination_risk; saturation_risk
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,2,Big-Bench Hard,benchmark_big_bench_hard,Big-Bench Hard,canonical,exact,Google,Google,Self-affiliated frontier lab,True,Generative Reasoning,General/Commonsense,Generative Reasoning,General/Commonsense; STEM/Math,mathematical_reasoning; reasoning,construct_validity_risk; contamination_risk; saturation_risk
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,3,DROP,benchmark_drop,DROP,canonical,exact,Academia,none,Academia,False,Generative Reasoning,General/Commonsense,Multimodal Perception,General/Commonsense; STEM/Math,document_understanding; mathematical_reasoning; reasoning,contamination_risk; saturation_risk
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,4,HellaSwag,benchmark_hellaswag,HellaSwag,canonical,exact,Academia,none,Academia,False,Generative Reasoning,General/Commonsense,Generative Reasoning,General/Commonsense,reasoning,construct_validity_risk; contamination_risk; saturation_risk
6,Google::gemini 1.0::2023-12-06,Google,gemini 1.0,2023-12-06,5,GSM8K,benchmark_gsm8k,GSM8K,canonical,exact,OpenAI,OpenAI,Other frontier lab-affiliated,False,Generative Reasoning,STEM/Math,Generative Reasoning,STEM/Math,mathematical_reasoning; reasoning,contamination_risk; saturation_risk
