benchmark_id,benchmark_name,provider,provider_first_date,provider_first_model,raw_mention,adoption_order,lag_days_since_benchmark_first,is_first_provider,first_providers,source_author,frontier_lab_author_affiliations,legacy_task_mode,legacy_task_domain
benchmark_biology_olympiad,Biology Olympiad,OpenAI,2023-03-14,GPT-4,Biology Olympiad,1,0,True,OpenAI,Academia,none,Generative Reasoning,Specialized (Law/Bio/Finance)
benchmark_uniform_bar_exam,Uniform Bar Exam,OpenAI,2023-03-14,GPT-4,Uniform Bar Exam,1,0,True,OpenAI,Academia,none,Generative Reasoning,Specialized (Law/Bio/Finance)
benchmark_gre,GRE,Anthropic,2023-07-11,Claude 2,GRE,1,0,True,Anthropic,"Academia, Others(ETS)",none,Generative Reasoning,General/Commonsense
benchmark_gsm8k,GSM8K,Anthropic,2023-07-11,Claude 2,GSM8K,1,0,True,Anthropic,OpenAI,OpenAI,Generative Reasoning,STEM/Math
benchmark_humaneval,HumanEval,Anthropic,2023-07-11,Claude 2,HumanEval,1,0,True,Anthropic,OpenAI,OpenAI,Generative Reasoning,Coding/Engineering
benchmark_uniform_bar_exam,Uniform Bar Exam,Anthropic,2023-07-11,Claude 2,Uniform Bar Exam,2,119,False,OpenAI,Academia,none,Generative Reasoning,Specialized (Law/Bio/Finance)
benchmark_big_bench_hard,Big-Bench Hard,Google,2023-12-06,gemini 1.0,Big-Bench Hard,1,0,True,Google,Google,Google,Generative Reasoning,General/Commonsense
benchmark_covost_2,CoVoST 2,Google,2023-12-06,gemini 1.0,CoVoST 2,1,0,True,Google,Meta,none,Multimodal Perception,General/Commonsense
benchmark_drop,DROP,Google,2023-12-06,gemini 1.0,DROP,1,0,True,Google,Academia,none,Generative Reasoning,General/Commonsense
benchmark_docvqa,DocVQA,Google,2023-12-06,gemini 1.0,DocVQA,1,0,True,Google,Academia,none,Multimodal Perception,General/Commonsense
benchmark_fleurs,FLEURS,Google,2023-12-06,gemini 1.0,FLEURS,1,0,True,Google,"Meta, Google",Google,Multimodal Perception,General/Commonsense
benchmark_gsm8k,GSM8K,Google,2023-12-06,gemini 1.0,GSM8K,2,148,False,Anthropic,OpenAI,OpenAI,Generative Reasoning,STEM/Math
benchmark_hellaswag,HellaSwag,Google,2023-12-06,gemini 1.0,HellaSwag,1,0,True,Google,Academia,none,Generative Reasoning,General/Commonsense
benchmark_humaneval,HumanEval,Google,2023-12-06,gemini 1.0,HumanEval,2,148,False,Anthropic,OpenAI,OpenAI,Generative Reasoning,Coding/Engineering
benchmark_infographic_vqa,Infographic VQA,Google,2023-12-06,gemini 1.0,Infographic VQA,1,0,True,Google,Academia,none,Multimodal Perception,General/Commonsense
benchmark_math,MATH,Google,2023-12-06,gemini 1.0,MATH,1,0,True,Google,Academia,none,Generative Reasoning,STEM/Math
benchmark_mcqa,MCQA,Google,2023-12-06,gemini 1.0,MCQA,1,0,True,Google,Academia,none,Generative Reasoning,General/Commonsense
benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,Google,2023-12-06,gemini 1.0,MMLU / MMLU-Pro,1,0,True,Google,Academia,none,Generative Reasoning,General/Commonsense
benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,Google,2023-12-06,gemini 1.0,MMMU / MMMU Pro,1,0,True,Google,Academia,none,Multimodal Perception,General/Commonsense
benchmark_mathvista,MathVista,Google,2023-12-06,gemini 1.0,MathVista,1,0,True,Google,Academia,Microsoft,Multimodal Perception,STEM/Math
benchmark_natural2code,Natural2Code,Google,2023-12-06,gemini 1.0,Natural2Code,1,0,True,Google,Google,Google; DeepMind,Generative Reasoning,Coding/Engineering
benchmark_textvqa,TextVQA,Google,2023-12-06,gemini 1.0,TextVQA,1,0,True,Google,Meta,none,Multimodal Perception,General/Commonsense
benchmark_vatex,VATEX,Google,2023-12-06,gemini 1.0,VATEX,1,0,True,Google,"Academia, Others(ByteDance)",none,Multimodal Perception,General/Commonsense
benchmark_vqav2,VQAv2,Google,2023-12-06,gemini 1.0,VQAv2,1,0,True,Google,Academia,none,Multimodal Perception,General/Commonsense
benchmark_mtob_benchmark,MTOB benchmark,Google,2024-02-15,Gemini 1.5,MTOB benchmark,1,0,True,Google,"Academia, Google",none,Generative Reasoning,STEM/Math
benchmark_needle_in_a_haystack,Needle In A Haystack,Google,2024-02-15,Gemini 1.5,Needle In A Haystack,1,0,True,Google,"Academia, Others(Microsoft)",none,Generative Reasoning,General/Commonsense
benchmark_ai2d,AI2D,Anthropic,2024-03-04,Claude 3,AI2D,1,0,True,Anthropic,Academia,none,Multimodal Perception,General/Commonsense
benchmark_arc_agi,ARC-AGI,Anthropic,2024-03-04,Claude 3,ARC-AGI,1,0,True,Anthropic,Academia,none,Generative Reasoning,STEM/Math
benchmark_big_bench_hard,Big-Bench Hard,Anthropic,2024-03-04,Claude 3,Big-Bench Hard,2,89,False,Google,Google,Google,Generative Reasoning,General/Commonsense
benchmark_chartqa,ChartQA,Anthropic,2024-03-04,Claude 3,ChartQA,1,0,True,Anthropic,Academia,none,Multimodal Perception,STEM/Math
benchmark_drop,DROP,Anthropic,2024-03-04,Claude 3,DROP,2,89,False,Google,Academia,none,Generative Reasoning,General/Commonsense
benchmark_docvqa,DocVQA,Anthropic,2024-03-04,Claude 3,DocVQA,2,89,False,Google,Academia,none,Multimodal Perception,General/Commonsense
benchmark_gpqa,GPQA,Anthropic,2024-03-04,Claude 3,GPQA,1,0,True,Anthropic,"Anthropic, Academia, Cohere",none,Generative Reasoning,STEM/Math
benchmark_hellaswag,HellaSwag,Anthropic,2024-03-04,Claude 3,HellaSwag,2,89,False,Google,Academia,none,Generative Reasoning,General/Commonsense
benchmark_math,MATH,Anthropic,2024-03-04,Claude 3,MATH,2,89,False,Google,Academia,none,Generative Reasoning,STEM/Math
benchmark_mgsm,MGSM,Anthropic,2024-03-04,Claude 3,MGSM,1,0,True,Anthropic,"Google, Academia",Google,Generative Reasoning,STEM/Math
benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,Anthropic,2024-03-04,Claude 3,MMLU / MMLU-Pro,2,89,False,Google,Academia,none,Generative Reasoning,General/Commonsense
benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,Anthropic,2024-03-04,Claude 3,MMMU / MMMU Pro,2,89,False,Google,Academia,none,Multimodal Perception,General/Commonsense
benchmark_mathvista,MathVista,Anthropic,2024-03-04,Claude 3,MathVista,2,89,False,Google,Academia,Microsoft,Multimodal Perception,STEM/Math
benchmark_needle_in_a_haystack,Needle In A Haystack,Anthropic,2024-03-04,Claude 3,Needle In A Haystack,2,18,False,Google,"Academia, Others(Microsoft)",none,Generative Reasoning,General/Commonsense
benchmark_ai2d,AI2D,OpenAI,2024-05-13,GPT-4o,AI2D,2,70,False,Anthropic,Academia,none,Multimodal Perception,General/Commonsense
benchmark_activitynet,ActivityNet,OpenAI,2024-05-13,GPT-4o,ActivityNet,1,0,True,OpenAI,Academia,none,Multimodal Perception,General/Commonsense
benchmark_chartqa,ChartQA,OpenAI,2024-05-13,GPT-4o,ChartQA,2,70,False,Anthropic,Academia,none,Multimodal Perception,STEM/Math
benchmark_drop,DROP,OpenAI,2024-05-13,GPT-4o,DROP,3,159,False,Google,Academia,none,Generative Reasoning,General/Commonsense
benchmark_docvqa,DocVQA,OpenAI,2024-05-13,GPT-4o,DocVQA,3,159,False,Google,Academia,none,Multimodal Perception,General/Commonsense
benchmark_egoschema,EgoSchema,OpenAI,2024-05-13,GPT-4o,EgoSchema,1,0,True,OpenAI,Academia,none,Multimodal Perception,General/Commonsense
benchmark_gpqa,GPQA,OpenAI,2024-05-13,GPT-4o,GPQA,2,70,False,Anthropic,"Anthropic, Academia, Cohere",none,Generative Reasoning,STEM/Math
benchmark_humaneval,HumanEval,OpenAI,2024-05-13,GPT-4o,HumanEval,3,307,False,Anthropic,OpenAI,OpenAI,Generative Reasoning,Coding/Engineering
benchmark_m3exam,M3Exam,OpenAI,2024-05-13,GPT-4o,M3Exam,1,0,True,OpenAI,"Academia, Others(Alibaba etc)",none,Multimodal Perception,General/Commonsense
benchmark_math,MATH,OpenAI,2024-05-13,GPT-4o,MATH,3,159,False,Google,Academia,none,Generative Reasoning,STEM/Math
benchmark_mgsm,MGSM,OpenAI,2024-05-13,GPT-4o,MGSM,2,70,False,Anthropic,"Google, Academia",Google,Generative Reasoning,STEM/Math
benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,OpenAI,2024-05-13,GPT-4o,MMLU / MMLU-Pro,3,159,False,Google,Academia,none,Generative Reasoning,General/Commonsense
benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,OpenAI,2024-05-13,GPT-4o,MMMU / MMMU Pro,3,159,False,Google,Academia,none,Multimodal Perception,General/Commonsense
benchmark_mathvista,MathVista,OpenAI,2024-05-13,GPT-4o,MathVista,3,159,False,Google,Academia,Microsoft,Multimodal Perception,STEM/Math
benchmark_aime,AIME,OpenAI,2024-09-12,o1,AIME,1,0,True,OpenAI,Academia,none,Generative Reasoning,STEM/Math
benchmark_codeforces,Codeforces,OpenAI,2024-09-12,o1,Codeforces,1,0,True,OpenAI,Others(Codeforces platform),none,Generative Reasoning,Coding/Engineering
benchmark_cybersecurity_ctfs,Cybersecurity CTFs,OpenAI,2024-09-12,o1-mini,Cybersecurity CTFs,1,0,True,OpenAI,Academia,none,Generative Reasoning,Coding/Engineering
benchmark_imo,IMO,OpenAI,2024-09-12,o1,IMO,1,0,True,OpenAI,Academia,none,Generative Reasoning,STEM/Math
benchmark_jailbreak_eval,Jailbreak Eval,OpenAI,2024-09-12,o1-mini,Jailbreak Eval,1,0,True,OpenAI,Academia,none,Constraint Satisfaction,General/Commonsense
benchmark_aime,AIME,Anthropic,2024-10-23,Claude 3.5 Haiku,AIME,2,41,False,OpenAI,Academia,none,Generative Reasoning,STEM/Math
benchmark_gpqa_diamond,GPQA Diamond,Anthropic,2024-10-23,Claude 3.5 Haiku,GPQA Diamond,1,0,True,Anthropic,"Anthropic, Academia, Others(Cohere)",none,Generative Reasoning,STEM/Math
benchmark_osworld,OSWorld,Anthropic,2024-10-23,Claude 3.5 Haiku,OSWorld,1,0,True,Anthropic,Academia,none,Agentic,Coding/Engineering
benchmark_swe_bench_verified,SWE-bench verified,Anthropic,2024-10-23,Claude 3.5 Haiku,SWE-bench verified,1,0,True,Anthropic,OpenAI,OpenAI,Agentic,Coding/Engineering
benchmark_tau_bench,Tau-bench,Anthropic,2024-10-23,Claude 3.5 Haiku,Tau-bench,1,0,True,Anthropic,Academia,none,Agentic,General/Commonsense
benchmark_bird_sql,Bird-SQL,Google,2024-12-11,Gemini 2.0,Bird-SQL,1,0,True,Google,Academia,none,Generative Reasoning,Coding/Engineering
benchmark_egoschema,EgoSchema,Google,2024-12-11,Gemini 2.0,EgoSchema,2,212,False,OpenAI,Academia,none,Multimodal Perception,General/Commonsense
benchmark_facts_grounding,FACTS Grounding,Google,2024-12-11,Gemini 2.0,FACTS Grounding,1,0,True,Google,Google,Google; DeepMind,Knowledge Retrieval,General/Commonsense
benchmark_gpqa,GPQA,Google,2024-12-11,Gemini 2.0,GPQA,3,282,False,Anthropic,"Anthropic, Academia, Cohere",none,Generative Reasoning,STEM/Math
benchmark_hiddenmath,HiddenMath,Google,2024-12-11,Gemini 2.0,HiddenMath,1,0,True,Google,Google,Google; DeepMind,Generative Reasoning,STEM/Math
benchmark_livecodebench,LiveCodeBench,Google,2024-12-11,Gemini 2.0,LiveCodeBench,1,0,True,Google,Academia,none,Generative Reasoning,Coding/Engineering
benchmark_mrcr,MRCR,Google,2024-12-11,Gemini 2.0,MRCR,1,0,True,Google,OpenAI,Google; DeepMind,Generative Reasoning,General/Commonsense
benchmark_vibe_eval,Vibe-Eval,Google,2024-12-11,Gemini 2.0,Vibe-Eval,1,0,True,Google,Others(Reka AI),none,Multimodal Perception,General/Commonsense
benchmark_webvoyager,WebVoyager,Google,2024-12-11,Gemini 2.0,WebVoyager,1,0,True,Google,Academia,none,Agentic,General/Commonsense
benchmark_frontiermath,FrontierMath,OpenAI,2025-01-31,o3-mini,FrontierMath,1,0,True,OpenAI,"Others(Epoch AI, backed by Google)",none,Generative Reasoning,STEM/Math
benchmark_livebench_coding,LiveBench Coding,OpenAI,2025-01-31,o3-mini,LiveBench Coding,1,0,True,OpenAI,"Academia, Others(Nvidia etc)",none,Generative Reasoning,Coding/Engineering
benchmark_stem,STEM,OpenAI,2025-01-31,o3-mini,STEM,1,0,True,OpenAI,Academia,none,Generative Reasoning,STEM/Math
benchmark_swe_bench_verified,SWE-bench verified,OpenAI,2025-01-31,o3-mini,SWE-bench verified,2,100,False,Anthropic,OpenAI,OpenAI,Agentic,Coding/Engineering
benchmark_simpleqa,SimpleQA,OpenAI,2025-01-31,o3-mini,SimpleQA,1,0,True,OpenAI,OpenAI,OpenAI,Knowledge Retrieval,General/Commonsense
benchmark_ifeval,IFEval,Anthropic,2025-02-25,Claude 3.7 Sonnet,IFEval,1,0,True,Anthropic,Google,Google,Constraint Satisfaction,General/Commonsense
benchmark_math_500,MATH 500,Anthropic,2025-02-25,Claude 3.7 Sonnet,MATH 500,1,0,True,Anthropic,Academia,none,Generative Reasoning,STEM/Math
benchmark_mmmlu,MMMLU,Anthropic,2025-02-25,Claude 3.7 Sonnet,MMMLU,1,0,True,Anthropic,OpenAI,OpenAI,Generative Reasoning,General/Commonsense
benchmark_mmmlu,MMMLU,OpenAI,2025-02-27,GPT-4.5,MMMLU,2,2,False,Anthropic,OpenAI,OpenAI,Generative Reasoning,General/Commonsense
benchmark_swe_bench,SWE-bench,OpenAI,2025-02-27,GPT-4.5,SWE-bench,1,0,True,OpenAI,Academia,none,Agentic,Coding/Engineering
benchmark_aime,AIME,Google,2025-03-25,Gemini 2.5,AIME,3,194,False,OpenAI,Academia,none,Generative Reasoning,STEM/Math
benchmark_aider_polyglot,Aider Polyglot,Google,2025-03-25,Gemini 2.5,Aider Polyglot,1,0,True,Google,Others(Aider),none,Generative Reasoning,Coding/Engineering
benchmark_hle_humanity_s_last_exam,HLE (Humanity's Last Exam),Google,2025-03-25,Gemini 2.5,HLE (Humanity's Last Exam),1,0,True,Google,"Academia, Others(CAIS; Scale AI)",OpenAI; Anthropic; Google; DeepMind; Microsoft,Generative Reasoning,Specialized (Law/Bio/Finance)
benchmark_swe_bench_verified,SWE-bench verified,Google,2025-03-25,Gemini 2.5,SWE-bench verified,3,153,False,Anthropic,OpenAI,OpenAI,Agentic,Coding/Engineering
benchmark_simpleqa,SimpleQA,Google,2025-03-25,Gemini 2.5,SimpleQA,2,53,False,OpenAI,OpenAI,OpenAI,Knowledge Retrieval,General/Commonsense
benchmark_aider_polyglot,Aider Polyglot,OpenAI,2025-04-14,GPT-4.1,Aider Polyglot,2,20,False,Google,Others(Aider),none,Generative Reasoning,Coding/Engineering
benchmark_collie,COLLIE,OpenAI,2025-04-14,GPT-4.1,COLLIE,1,0,True,OpenAI,Academia,none,Constraint Satisfaction,General/Commonsense
benchmark_charxiv,CharXiv,OpenAI,2025-04-14,GPT-4.1,CharXiv,1,0,True,OpenAI,Academia,none,Multimodal Perception,STEM/Math
benchmark_complexfunc_bench,ComplexFunc Bench,OpenAI,2025-04-14,GPT-4.1,ComplexFunc Bench,1,0,True,OpenAI,Academia,none,Agentic,Coding/Engineering
benchmark_graphwalks,GraphWalks,OpenAI,2025-04-14,GPT-4.1,GraphWalks,1,0,True,OpenAI,OpenAI,OpenAI,Generative Reasoning,STEM/Math
benchmark_ifeval,IFEval,OpenAI,2025-04-14,GPT-4.1,IFEval,2,48,False,Anthropic,Google,Google,Constraint Satisfaction,General/Commonsense
benchmark_mrcr,MRCR,OpenAI,2025-04-14,GPT-4.1,MRCR,2,124,False,Google,OpenAI,Google; DeepMind,Generative Reasoning,General/Commonsense
