Provider,Model name,link,release_date,release_year,model_key,raw_mention,benchmark_id,benchmark_name,match_source,match_type,resolved_mentions_on_release,release_normalized_weight,source_author,frontier_lab_author_affiliations,legacy_task_mode,legacy_task_domain,review_status,is_static_exam,is_work_simulation,is_multimodal_or_ui,is_specialized_domain,is_provider_created_or_private,is_private_or_opaque_eval,is_provider_created_benchmark,is_explicit_internal_named,has_nonzero_lifecycle_risk,lifecycle_risk_labels,headline_task_modes
OpenAI,GPT-4,https://openai.com/ko-KR/index/gpt-4/,2023-03-14,2023,OpenAI|GPT-4|2023-03-14,Uniform Bar Exam,benchmark_uniform_bar_exam,Uniform Bar Exam,canonical,exact,2,0.5,Academia,none,Generative Reasoning,Specialized (Law/Bio/Finance),legacy_seed,True,False,False,True,True,True,False,False,True,construct_validity_risk; contamination_risk; private_or_opaque_eval,Multimodal Perception
OpenAI,GPT-4,https://openai.com/ko-KR/index/gpt-4/,2023-03-14,2023,OpenAI|GPT-4|2023-03-14,Biology Olympiad,benchmark_biology_olympiad,Biology Olympiad,canonical,exact,2,0.5,Academia,none,Generative Reasoning,Specialized (Law/Bio/Finance),legacy_seed,True,False,False,True,False,False,False,False,True,construct_validity_risk; contamination_risk; saturation_risk; unclear_metric,Generative Reasoning
OpenAI,GPT-4o,https://openai.com/ko-KR/index/hello-gpt-4o/,2024-05-13,2024,OpenAI|GPT-4o|2024-05-13,MMLU / MMLU-Pro,benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,canonical,exact,14,0.07142857142857142,Academia,none,Generative Reasoning,General/Commonsense,legacy_seed,True,False,False,True,False,False,False,False,True,construct_validity_risk; contamination_risk; saturation_risk,Generative Reasoning
OpenAI,GPT-4o,https://openai.com/ko-KR/index/hello-gpt-4o/,2024-05-13,2024,OpenAI|GPT-4o|2024-05-13,GPQA,benchmark_gpqa,GPQA,canonical,exact,14,0.07142857142857142,"Anthropic, Academia, Cohere",none,Generative Reasoning,STEM/Math,legacy_seed,True,False,False,True,False,False,False,False,True,construct_validity_risk; contamination_risk,Generative Reasoning
OpenAI,GPT-4o,https://openai.com/ko-KR/index/hello-gpt-4o/,2024-05-13,2024,OpenAI|GPT-4o|2024-05-13,MATH,benchmark_math,MATH,canonical,exact,14,0.07142857142857142,Academia,none,Generative Reasoning,STEM/Math,legacy_seed,True,False,False,False,False,False,False,False,True,construct_validity_risk; contamination_risk; saturation_risk,Generative Reasoning
OpenAI,GPT-4o,https://openai.com/ko-KR/index/hello-gpt-4o/,2024-05-13,2024,OpenAI|GPT-4o|2024-05-13,HumanEval,benchmark_humaneval,HumanEval,canonical,exact,14,0.07142857142857142,OpenAI,OpenAI,Generative Reasoning,Coding/Engineering,legacy_seed,False,True,False,False,True,False,True,False,True,construct_validity_risk; contamination_risk; provider_created_benchmark; saturation_risk,Generative Reasoning
OpenAI,GPT-4o,https://openai.com/ko-KR/index/hello-gpt-4o/,2024-05-13,2024,OpenAI|GPT-4o|2024-05-13,MGSM,benchmark_mgsm,MGSM,canonical,exact,14,0.07142857142857142,"Google, Academia",Google,Generative Reasoning,STEM/Math,legacy_seed,True,False,False,False,False,False,False,False,True,contamination_risk; saturation_risk,Generative Reasoning
OpenAI,GPT-4o,https://openai.com/ko-KR/index/hello-gpt-4o/,2024-05-13,2024,OpenAI|GPT-4o|2024-05-13,DROP,benchmark_drop,DROP,canonical,exact,14,0.07142857142857142,Academia,none,Generative Reasoning,General/Commonsense,legacy_seed,True,False,False,False,False,False,False,False,True,contamination_risk; saturation_risk,Multimodal Perception
OpenAI,GPT-4o,https://openai.com/ko-KR/index/hello-gpt-4o/,2024-05-13,2024,OpenAI|GPT-4o|2024-05-13,M3Exam,benchmark_m3exam,M3Exam,canonical,exact,14,0.07142857142857142,"Academia, Others(Alibaba etc)",none,Multimodal Perception,General/Commonsense,legacy_seed,True,False,True,False,False,False,False,False,True,construct_validity_risk; contamination_risk,Multimodal Perception
OpenAI,GPT-4o,https://openai.com/ko-KR/index/hello-gpt-4o/,2024-05-13,2024,OpenAI|GPT-4o|2024-05-13,MMMU / MMMU Pro,benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,canonical,exact,14,0.07142857142857142,Academia,none,Multimodal Perception,General/Commonsense,legacy_seed,True,False,True,True,False,False,False,False,True,construct_validity_risk; contamination_risk; version_instability,Multimodal Perception
OpenAI,GPT-4o,https://openai.com/ko-KR/index/hello-gpt-4o/,2024-05-13,2024,OpenAI|GPT-4o|2024-05-13,MathVista,benchmark_mathvista,MathVista,canonical,exact,14,0.07142857142857142,Academia,Microsoft,Multimodal Perception,STEM/Math,legacy_seed,True,False,True,False,False,False,False,False,True,construct_validity_risk; contamination_risk,Multimodal Perception
OpenAI,GPT-4o,https://openai.com/ko-KR/index/hello-gpt-4o/,2024-05-13,2024,OpenAI|GPT-4o|2024-05-13,AI2D,benchmark_ai2d,AI2D,canonical,exact,14,0.07142857142857142,Academia,none,Multimodal Perception,General/Commonsense,legacy_seed,True,False,True,False,False,False,False,False,True,construct_validity_risk; contamination_risk; saturation_risk,Multimodal Perception
OpenAI,GPT-4o,https://openai.com/ko-KR/index/hello-gpt-4o/,2024-05-13,2024,OpenAI|GPT-4o|2024-05-13,ChartQA,benchmark_chartqa,ChartQA,canonical,exact,14,0.07142857142857142,Academia,none,Multimodal Perception,STEM/Math,legacy_seed,True,False,True,False,False,False,False,False,True,construct_validity_risk; contamination_risk,Multimodal Perception
