evidence_id,benchmark_id,evidence_type,title,url,source_date,accessed_date,notes
evidence_benchmark_ai2d_definition,benchmark_ai2d,benchmark_definition,Definition/source for AI2D,https://allenai.org/data/ai2d,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_aime_definition,benchmark_aime,benchmark_definition,Definition/source for AIME,https://artificialanalysis.ai/models/o1/benchmarks,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_arc_agi_definition,benchmark_arc_agi,benchmark_definition,Definition/source for ARC-AGI,https://arcprize.org/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_arc_agi_2_definition,benchmark_arc_agi_2,benchmark_definition,Definition/source for ARC-AGI-2,https://arxiv.org/abs/2505.11831,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_activitynet_definition,benchmark_activitynet,benchmark_definition,Definition/source for ActivityNet,https://activity-net.org/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_aider_polyglot_definition,benchmark_aider_polyglot,benchmark_definition,Definition/source for Aider Polyglot,https://aider.chat/docs/benchmarks.html,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_big_bench_hard_definition,benchmark_big_bench_hard,benchmark_definition,Definition/source for Big-Bench Hard,https://github.com/suzgunmirac/BIG-Bench-Hard,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_biglaw_bench_definition,benchmark_biglaw_bench,benchmark_definition,Definition/source for BigLaw Bench,https://harvey.ai/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_biopipelinebench_definition,benchmark_biopipelinebench,benchmark_definition,Definition/source for BioPipelineBench,https://www.anthropic.com/claude-sonnet-4-6-system-card,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_biology_olympiad_definition,benchmark_biology_olympiad,benchmark_definition,Definition/source for Biology Olympiad,https://www.usabo-trc.org/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_bird_sql_definition,benchmark_bird_sql,benchmark_definition,Definition/source for Bird-SQL,https://bird-sql.github.io/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_browsecomp_definition,benchmark_browsecomp,benchmark_definition,Definition/source for BrowseComp,https://openai.com/index/browsecomp/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_browsecomp_long_context_definition,benchmark_browsecomp_long_context,benchmark_definition,Definition/source for BrowseComp Long Context,https://huggingface.co/datasets/openai/BrowseCompLongContext,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_browsecomp_plus_definition,benchmark_browsecomp_plus,benchmark_definition,Definition/source for BrowseComp-Plus,https://arxiv.org/abs/2508.06600,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_collie_definition,benchmark_collie,benchmark_definition,Definition/source for COLLIE,https://github.com/princeton-nlp/Collie,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_charxiv_definition,benchmark_charxiv,benchmark_definition,Definition/source for CharXiv,https://charxiv.github.io/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_chartqa_definition,benchmark_chartqa,benchmark_definition,Definition/source for ChartQA,https://github.com/vis-nlp/ChartQA,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_covost_2_definition,benchmark_covost_2,benchmark_definition,Definition/source for CoVoST 2,https://github.com/facebookresearch/covost,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_codeforces_definition,benchmark_codeforces,benchmark_definition,Definition/source for Codeforces,https://codeforces.com/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_complexfunc_bench_definition,benchmark_complexfunc_bench,benchmark_definition,Definition/source for ComplexFunc Bench,https://github.com/THUDM/ComplexFuncBench,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_cybergym_definition,benchmark_cybergym,benchmark_definition,Definition/source for CyberGym,https://arxiv.org/abs/2506.02548,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_cybersecurity_ctfs_definition,benchmark_cybersecurity_ctfs,benchmark_definition,Definition/source for Cybersecurity CTFs,https://openai.com/index/learning-to-reason-with-llms/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_drop_definition,benchmark_drop,benchmark_definition,Definition/source for DROP,https://allenai.org/data/drop,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_docvqa_definition,benchmark_docvqa,benchmark_definition,Definition/source for DocVQA,https://www.docvqa.org/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_erqa_definition,benchmark_erqa,benchmark_definition,Definition/source for ERQA,https://arxiv.org/abs/2402.11402,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_egoschema_definition,benchmark_egoschema,benchmark_definition,Definition/source for EgoSchema,https://egoschema.github.io/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_facts_benchmark_suite_definition,benchmark_facts_benchmark_suite,benchmark_definition,Definition/source for FACTS Benchmark suite,https://deepmind.google/blog/facts-benchmark-suite-systematically-evaluating-the-factuality-of-large-language-models/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_facts_grounding_definition,benchmark_facts_grounding,benchmark_definition,Definition/source for FACTS Grounding,https://scale.com/leaderboard/facts,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_fleurs_definition,benchmark_fleurs,benchmark_definition,Definition/source for FLEURS,https://huggingface.co/datasets/google/fleurs,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_finance_agent_definition,benchmark_finance_agent,benchmark_definition,Definition/source for Finance Agent,https://vals.ai/finance-agent,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_frontiermath_definition,benchmark_frontiermath,benchmark_definition,Definition/source for FrontierMath,https://epoch.ai/frontiermath,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_gdpval_definition,benchmark_gdpval,benchmark_definition,Definition/source for GDPval,https://openai.com/index/gdpval/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_gdpval_aa_definition,benchmark_gdpval_aa,benchmark_definition,Definition/source for GDPval-AA,https://artificialanalysis.ai/methodology/intelligence-benchmarking,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_gpqa_definition,benchmark_gpqa,benchmark_definition,Definition/source for GPQA,https://github.com/idavidrein/gpqa,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_gpqa_diamond_definition,benchmark_gpqa_diamond,benchmark_definition,Definition/source for GPQA Diamond,https://arxiv.org/abs/2311.12022,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_gre_definition,benchmark_gre,benchmark_definition,Definition/source for GRE,https://www.ets.org/gre,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_gsm8k_definition,benchmark_gsm8k,benchmark_definition,Definition/source for GSM8K,https://github.com/openai/grade-school-math,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_global_piqa_definition,benchmark_global_piqa,benchmark_definition,Definition/source for Global PIQA,https://mrlbenchmarks.github.io/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_graphwalks_definition,benchmark_graphwalks,benchmark_definition,Definition/source for GraphWalks,https://huggingface.co/datasets/openai/graphwalks,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_hle_humanity_s_last_exam_definition,benchmark_hle_humanity_s_last_exam,benchmark_definition,Definition/source for HLE (Humanity's Last Exam),https://lastexam.ai/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_hmmt_definition,benchmark_hmmt,benchmark_definition,Definition/source for HMMT,https://www.hmmt.org/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_healthbench_definition,benchmark_healthbench,benchmark_definition,Definition/source for Healthbench,https://openai.com/index/introducing-healthbench/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_hellaswag_definition,benchmark_hellaswag,benchmark_definition,Definition/source for HellaSwag,https://rowanzellers.com/hellaswag/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_hiddenmath_definition,benchmark_hiddenmath,benchmark_definition,Definition/source for HiddenMath,https://blog.google/technology/ai/google-gemini-ai/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_humaneval_definition,benchmark_humaneval,benchmark_definition,Definition/source for HumanEval,https://github.com/openai/human-eval,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_ifeval_definition,benchmark_ifeval,benchmark_definition,Definition/source for IFEval,https://github.com/google-research/google-research/tree/master/instruction_following_eval,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_imo_definition,benchmark_imo,benchmark_definition,Definition/source for IMO,https://www.imo-official.org/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_infographic_vqa_definition,benchmark_infographic_vqa,benchmark_definition,Definition/source for Infographic VQA,https://www.docvqa.org/datasets/infographicvqa,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_jailbreak_eval_definition,benchmark_jailbreak_eval,benchmark_definition,Definition/source for Jailbreak Eval,https://jailbreakbench.github.io/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_lmarena_definition,benchmark_lmarena,benchmark_definition,Definition/source for LMArena,https://chat.lmsys.org/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_livebench_coding_definition,benchmark_livebench_coding,benchmark_definition,Definition/source for LiveBench Coding,https://livebench.ai/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_livecodebench_definition,benchmark_livecodebench,benchmark_definition,Definition/source for LiveCodeBench,https://livecodebench.github.io/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_m3exam_definition,benchmark_m3exam,benchmark_definition,Definition/source for M3Exam,https://m3exam.github.io/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_math_definition,benchmark_math,benchmark_definition,Definition/source for MATH,https://github.com/hendrycks/math,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_math_500_definition,benchmark_math_500,benchmark_definition,Definition/source for MATH 500,https://arxiv.org/abs/2103.03874,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_mcqa_definition,benchmark_mcqa,benchmark_definition,Definition/source for MCQA,https://paperswithcode.com/task/multiple-choice-question-answering,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_mgsm_definition,benchmark_mgsm,benchmark_definition,Definition/source for MGSM,https://github.com/google-research/google-research/tree/master/mgsm,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_mmlu_mmlu_pro_definition,benchmark_mmlu_mmlu_pro,benchmark_definition,Definition/source for MMLU / MMLU-Pro,https://github.com/TIGER-AI-Lab/MMLU-Pro,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_mmmlu_definition,benchmark_mmmlu,benchmark_definition,Definition/source for MMMLU,https://huggingface.co/datasets/openai/MMMLU,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_mmmu_mmmu_pro_definition,benchmark_mmmu_mmmu_pro,benchmark_definition,Definition/source for MMMU / MMMU Pro,https://mmmu-benchmark.github.io/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_mrcr_definition,benchmark_mrcr,benchmark_definition,Definition/source for MRCR,https://arxiv.org/abs/2409.12640,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_mrcr_v2_definition,benchmark_mrcr_v2,benchmark_definition,Definition/source for MRCR v2,https://arxiv.org/abs/2409.12640,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_mtob_benchmark_definition,benchmark_mtob_benchmark,benchmark_definition,Definition/source for MTOB benchmark,https://github.com/lukemelas/mtob,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_matharena_apex_definition,benchmark_matharena_apex,benchmark_definition,Definition/source for MathArena Apex,https://matharena.ai/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_mathvista_definition,benchmark_mathvista,benchmark_definition,Definition/source for MathVista,https://mathvista.github.io/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_multi_if_definition,benchmark_multi_if,benchmark_definition,Definition/source for Multi-IF,https://github.com/facebookresearch/multi-if,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_multichallenge_definition,benchmark_multichallenge,benchmark_definition,Definition/source for MultiChallenge,https://scale.com/leaderboard/multichallenge,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_natural2code_definition,benchmark_natural2code,benchmark_definition,Definition/source for Natural2Code,https://arxiv.org/abs/2312.11805,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_needle_in_a_haystack_definition,benchmark_needle_in_a_haystack,benchmark_definition,Definition/source for Needle In A Haystack,https://github.com/gkamradt/LLMTest_NeedleInAHaystack,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_osworld_definition,benchmark_osworld,benchmark_definition,Definition/source for OSWorld,https://os-world.github.io,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_omnidocbench_1_5_definition,benchmark_omnidocbench_1_5,benchmark_definition,Definition/source for OmniDocBench 1.5,https://github.com/OpenGVLab/OmniDocBench,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_openrca_definition,benchmark_openrca,benchmark_definition,Definition/source for OpenRCA,https://github.com/microsoft/OpenRCA,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_stem_definition,benchmark_stem,benchmark_definition,Definition/source for STEM,https://github.com/hendrycks/test,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_swe_lancer_definition,benchmark_swe_lancer,benchmark_definition,Definition/source for SWE-Lancer,https://openai.com/index/swe-lancer-benchmark/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_swe_bench_definition,benchmark_swe_bench,benchmark_definition,Definition/source for SWE-bench,https://www.swebench.com/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_swe_bench_multilingual_definition,benchmark_swe_bench_multilingual,benchmark_definition,Definition/source for SWE-bench Multilingual,https://multi-swe-bench.github.io,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_swe_bench_pro_definition,benchmark_swe_bench_pro,benchmark_definition,Definition/source for SWE-bench Pro,https://scale.com/blog/swe-bench-pro,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_swe_bench_verified_definition,benchmark_swe_bench_verified,benchmark_definition,Definition/source for SWE-bench verified,https://www.swebench.com/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_scale_mcp_atlas_definition,benchmark_scale_mcp_atlas,benchmark_definition,Definition/source for Scale MCP-Atlas,https://scale.com/leaderboard/mcp-atlas,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_screenspot_pro_definition,benchmark_screenspot_pro,benchmark_definition,Definition/source for ScreenSpot-Pro,https://github.com/nju-websoft/ScreenSpot,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_simpleqa_definition,benchmark_simpleqa,benchmark_definition,Definition/source for SimpleQA,https://github.com/openai/simple-evals,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_tau_2_bench_definition,benchmark_tau_2_bench,benchmark_definition,Definition/source for TAU-2 bench,https://arxiv.org/abs/2506.07982,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_tau_bench_definition,benchmark_tau_bench,benchmark_definition,Definition/source for Tau-bench,https://tau-bench.github.io/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_terminal_bench_2_0_definition,benchmark_terminal_bench_2_0,benchmark_definition,Definition/source for Terminal-Bench 2.0,https://github.com/mshumer/terminal-bench,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_terminal_bench_definition,benchmark_terminal_bench,benchmark_definition,Definition/source for Terminal-bench,https://github.com/cpacker/Terminal-Bench,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_textvqa_definition,benchmark_textvqa,benchmark_definition,Definition/source for TextVQA,https://textvqa.org/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_toolathlon_definition,benchmark_toolathlon,benchmark_definition,Definition/source for Toolathlon,https://toolathlon.github.io/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_uniform_bar_exam_definition,benchmark_uniform_bar_exam,benchmark_definition,Definition/source for Uniform Bar Exam,https://www.ncbex.org/exams/ube,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_vatex_definition,benchmark_vatex,benchmark_definition,Definition/source for VATEX,https://vatex.org/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_vqav2_definition,benchmark_vqav2,benchmark_definition,Definition/source for VQAv2,https://visualqa.org/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_vending_bench_definition,benchmark_vending_bench,benchmark_definition,Definition/source for Vending-Bench,https://andonlabs.com/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_vending_bench_2_definition,benchmark_vending_bench_2,benchmark_definition,Definition/source for Vending-Bench 2,https://andonlabs.com/evals/vending-bench-2,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_vibe_eval_definition,benchmark_vibe_eval,benchmark_definition,Definition/source for Vibe-Eval,https://github.com/reka-ai/vibe-eval,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_video_mme_definition,benchmark_video_mme,benchmark_definition,Definition/source for Video-MME,https://video-mme.github.io/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_video_mmmu_definition,benchmark_video_mmmu,benchmark_definition,Definition/source for Video-MMMU,https://video-mmmu.github.io/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_webdev_arena_definition,benchmark_webdev_arena,benchmark_definition,Definition/source for WebDev Arena,https://web.lmarena.ai/,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
evidence_benchmark_webvoyager_definition,benchmark_webvoyager,benchmark_definition,Definition/source for WebVoyager,https://github.com/Square_Z/WebVoyager,,2026-04-25,Seeded from legacy benchmark_taxonomy_v2 reference_link.
